id,property_type,room_type,bathrooms,bedrooms,minimum_nights,price(in $)
261358,Condominium,Entire home/apt,1,0,30,138
269371,Apartment,Private room,1.5,1,2,115
269463,Apartment,Entire home/apt,1,1,2,250
271602,Condominium,Entire home/apt,1,1,30,133
271647,Apartment,Shared room,1.5,1,30,35
273530,Condominium,Entire home/apt,2,2,4,325
274334,House,Private room,1,1,3,89
276072,Apartment,Private room,1,1,2,97
277339,Guest suite,Entire home/apt,1,1,3,110
279184,Apartment,Entire home/apt,2,3,3,575
280549,House,Private room,1.5,3,1,250
284117,Guesthouse,Entire home/apt,1,1,30,105
285499,Condominium,Entire home/apt,2,2,30,210
286311,Condominium,Entire home/apt,2,3,4,475
287907,House,Entire home/apt,2,2,3,300
288213,Apartment,Entire home/apt,1,1,2,190
292723,House,Private room,1,1,30,45
295240,Apartment,Entire home/apt,1,1,2,299
295565,House,Private room,1,1,30,30
306504,Apartment,Entire home/apt,1,1,5,225
307837,House,Entire home/apt,1,1,7,159
308885,Apartment,Entire home/apt,1,1,30,125
314248,House,Entire home/apt,2.5,3,7,325
314368,Condominium,Entire home/apt,1,2,1,600
317121,Apartment,Entire home/apt,1,0,30,90
323635,House,Private room,0.5,1,2,48
325478,Apartment,Entire home/apt,1,2,4,365
326650,Apartment,Entire home/apt,1,1,30,139
329020,Loft,Entire home/apt,1,1,30,250
330535,Apartment,Entire home/apt,1,3,30,189
330736,House,Entire home/apt,1,1,3,298
334339,Cottage,Private room,1,1,3,99
334886,Condominium,Private room,1,1,60,165
338849,Apartment,Private room,1,1,30,99
342420,House,Entire home/apt,2,4,4,595
344621,House,Private room,1,1,1,95
345760,Apartment,Private room,1,1,1,119
348580,Condominium,Entire home/apt,1,1,2,160
348714,Guest suite,Entire home/apt,1,1,3,190
350479,House,Private room,1,1,30,83
351881,Apartment,Private room,1,1,2,125
351950,House,Private room,1,1,30,40
351978,House,Private room,1,1,30,45
352165,Apartment,Entire home/apt,1,1,2,115
353292,Condominium,Private room,1,1,4,90
